datacqtr,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
1 01 1980,532.339,30229.989,16670.262,50552.769,6422.318,8194.428,40740.042,10422.071,14265.605,354.278,13350.099
1 04 1980,607.233,28198.873,17444.654,48173.235,6789.836,8394.868,42234.7,11158.383,14074.507,393.244,11785.907
1 07 1980,603.026,25606.188,19411.828,48613.402,7046.19,8727.985,41339.288,11550.257,13567.388,441.324,14357.933
1 10 1980,595.677,33127.648,19468.113,54019.086,7314.864,9234.878,45383.159,13167.603,14461.637,547.899,14144.08
1 01 1981,641.274,30712.766,18879.023,57062.951,8589.746,10523.178,45833.032,11677.563,15002.666,595.991,15537.312
1 04 1981,705.829,35382.756,19957.471,51969.577,9344.804,10569.408,48513.068,12363.136,16211.108,661.538,14547.313
1 07 1981,744.145,28925.295,21613.983,53743.337,9567.176,10682.186,47268.9,12313.446,15554.058,700.98,16589.292
1 10 1981,724.569,32399.188,20859.092,58040.5,9998.658,11419.687,48933.078,14765.516,14744.55,816.873,16074.95
1 01 1982,716.796,30103.269,20709.748,50182.035,10494.996,11295.616,44413.195,12733.555,10958.747,703.362,18235.1
1 04 1982,842.222,35075.533,21620.334,47006.869,10917.356,11582.142,47178.873,13932.023,11380.45,787.172,15791.456
1 07 1982,805.762,30143.07,23847.496,46693.318,10921.233,11725.93,45076.407,14145.606,11013.226,796.851,17684.188
1 10 1982,864.378,32022.042,22515.539,47781.402,11427.329,12421.444,46340.805,17272.594,10609.346,955.307,16983.765
1 01 1983,878.605,34227.742,21473.587,43225.628,11128.799,12081.215,46105.454,14421.904,10581.832,795.664,18265.785
1 04 1983,988.344,39360.707,22713,41891.189,11483.723,12701.655,48809.41,16001.249,11520.51,858.775,16428.95
1 07 1983,925.763,36822.376,24964.834,43971.183,11626.253,12786.075,49192.854,16158.14,11588.857,864.291,19283.272
1 10 1983,968.31,43783.684,23203.791,45084.099,12424.286,13583.895,52971.573,20444.205,11718.772,1211.294,18842.436
1 01 1984,4694.651,44735.387,22947.33,44507.204,12361.482,13255.031,51901.331,17355.821,11712.963,923.759,20721.38
1 04 1984,4934.271,45210.592,24327.534,48051.617,11448.179,14107.089,54396.678,19714.145,12500.243,1074.916,18536.381
1 07 1984,4930.432,40606.12,26436.336,48808.009,12867.184,13752.386,54009.657,19398.907,12098.684,1009.662,20996.781
1 10 1984,5151.623,46706.07,25116.428,49685.262,13410.2,15242.006,56008.111,23635.486,11550.083,1335.851,20001.816
1 01 1985,5146.505,47721.012,24464.129,47645.03,14226.173,14580.063,54096.304,17878.793,11257.632,1064.622,22060.306
1 04 1985,5898.277,50047.275,25650.282,45602.299,15248.966,15065.373,56843.312,19511.797,12567.487,1224.879,19913.823
1 07 1985,5749.99,46239.941,27641.164,42876.17,16106.446,15342.455,56173.085,19731.757,12204.319,1156.921,21908.19
1 10 1985,5933.983,53012.158,29411.812,45708.486,18544.271,16848.78,63592.037,25729.906,11982.933,1592.079,21084.651
1 01 1986,5908.273,53256.31,30233.769,39823.84,18831.532,16569.822,55991.837,18302.762,11368.238,1216.345,21876.088
1 04 1986,6279.321,57792.31,31507.107,32198.109,20533.548,16832.631,60086.739,21077.372,12171.369,1307.112,19296.059
1 07 1986,6265.076,50913.193,34140.352,29797.581,20686.118,18078.447,62286.765,20988.136,11386.469,1507.418,21707.512
1 10 1986,6517.933,58161.919,33631.593,41230.693,23251.896,18932.088,68318.287,26626.308,18246.574,2085.019,20001.529
1 01 1987,6236.375,58469.274,33005.201,34232.652,22355.07,18275.643,62946.22,20100.062,12559.873,1622.496,20829.355
1 04 1987,6583.853,61570.6,35324.299,35540.632,23342.932,18909.436,67056.211,22984.655,14191.522,1739.977,19565.377
1 07 1987,6694.347,54298.352,37943.249,37240.672,22862.659,19830.298,75610.291,23607.899,14392.516,1728.335,22190.367
1 10 1987,6958.257,64248.939,37496.847,48741.529,25556.753,20725.939,76071.969,30346.496,19406.176,2366.704,20278.677
1 01 1988,6812.104,67506.874,35015.59,38324.712,24685.642,19988.835,73297.936,24059.638,15130.468,1899.442,22048.368
1 04 1988,7190.813,72070.164,37810.609,37460.477,25442.092,20312.414,78999.129,26699.683,16637.399,2034.728,19903.136
1 07 1988,7459.232,63607.031,40593.315,37314.766,25620.211,20529.682,81110.419,27046.392,16297.655,1979.237,24124.285
1 10 1988,7737.967,73423.899,41983.51,48008.32,26526.775,21882.472,86515.054,34179.795,23683.326,2677.916,21922.068
1 01 1989,7408.01,73802.015,42376.08,40143.214,27730.56,22237.761,80823.704,26269.633,16939.057,1945.194,23389.223
1 04 1989,7887.163,74931.886,44660.555,42143.271,29449.838,22418.144,88879.944,29594.162,18387.774,2046.838,21867.089
1 07 1989,8084.671,66007.974,48025.901,40795.822,29499.121,23115.673,86692.694,29198.186,17598.751,2033.13,24989.594
