tic,company,gicssector,gicssubsector
TXG,10x Genomics,Health Care,
MMM,3M,Industrials,Industrial Conglomerates
ABT,Abbott,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Pharmaceuticals
ACHC,Acadia Healthcare,Health Care,Health Care Facilities
ACN,Accenture,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
AYI,Acuity Brands,Industrials,Electrical Components & Equipment
ADM,ADM,Consumer Staples,Agricultural Products
ADBE,Adobe,Information Technology,Application Software
ADP,ADP,Information Technology,Data Processing & Outsourced Services
ADT,ADT,Consumer Discretionary,
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
WMS,Advanced Drainage Systems,Industrials,
ACM,AECOM,Industrials,Construction & Engineering
AES,AES,Utilities,Independent Power Producers & Energy Traders
AFRM,Affirm,Information Technology,
AFL,Aflac,Financials,Life & Health Insurance
AGCO,AGCO,Industrials,Agricultural & Farm Machinery
A,Agilent Technologies,Health Care,Health Care Equipment
AGL,Agilon Health,Health Care,
AGNC,AGNC Investment,Financials,
AIG,AIG,Financials,Property & Casualty Insurance
AL,Air Lease Corporation,Industrials,
APD,Air Products and Chemicals,Materials,Industrial Gases
ABNB,Airbnb,Consumer Discretionary,Internet & Direct Marketing Retail
AKAM,Akamai,Information Technology,Internet Services & Infrastructure
ALK,Alaska Air Group,Industrials,Airlines
ALB,Albemarle,Materials,Specialty Chemicals
ACI,Albertsons,Consumer Staples,
AA,Alcoa,Materials,Aluminum
ARE,Alexandria,Real Estate,Office REITs
ALGN,Align,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
ALGM,Allegro MicroSystems,Information Technology,
LNT,Alliant Energy,Utilities,Electric Utilities
ALSN,Allison Transmission,Industrials,
ALL,Allstate,Financials,Property & Casualty Insurance
ALLY,Ally,Financials,
ALNY,Alnylam,Health Care,
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services
AYX,Alteryx,Information Technology,
ATUS,Altice USA,Communication Services,
MO,Altria,Consumer Staples,Tobacco
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
AMC,AMC Theatres (Class A),Communication Services,
AMCR,Amcor,Materials,Paper Packaging
AMD,AMD,Information Technology,Semiconductors
DOX,Amdocs,Information Technology,
AMED,Amedisys,Health Care,Health Care Services
AEE,Ameren,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express,Financials,Consumer Finance
AFG,American Financial Group,Financials,Multi-line Insurance
AMH,American Homes 4 Rent,Real Estate,
AMT,American Tower,Real Estate,Specialized REITs
AWK,American Water,Utilities,Water Utilities
COLD,Americold,Real Estate,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen,Health Care,Health Care Distributors
AME,Ametek,Industrials,Electrical Components & Equipment
AMG,AMG,Financials,Asset Management & Custody Banks
AMGN,Amgen,Health Care,Biotechnology
APH,Amphenol,Information Technology,Electronic Components
ADI,Analog Devices,Information Technology,Semiconductors
NLY,Annaly,Financials,
ANSS,Ansys,Information Technology,Application Software
AM,Antero Midstream,Energy,
AR,Antero Resources,Energy,
AON,AON,Financials,Insurance Brokers
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
AIRC,Apartment Income REIT,Real Estate,
APO,Apollo,Financials,
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials,Information Technology,Semiconductor Equipment
APP,AppLovin,Information Technology,
ATR,AptarGroup,Materials,Metal & Glass Containers
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment
ARMK,Aramark,Consumer Discretionary,
ACGL,Arch,Financials,Reinsurance
AMBP,Ardagh Metal Packaging,Materials,
ARES,Ares,Financials,
ANET,Arista,Information Technology,Communications Equipment
AWI,Armstrong World Industries,Industrials,
ARW,Arrow Electronics,Information Technology,Technology Distributors
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
ASH,Ashland,Materials,Diversified Chemicals
AZPN,Aspen Technology,Information Technology,Application Software
AIZ,Assurant,Financials,Multi-line Insurance
AGO,Assured Guaranty,Financials,
T,AT&T,Communication Services,Integrated Telecommunication Services
TEAM,Atlassian,Information Technology,Application Software
ATO,Atmos Energy,Utilities,Gas Utilities
ADSK,Autodesk,Information Technology,Application Software
AN,AutoNation,Consumer Discretionary,Automotive Retail
AZO,AutoZone,Consumer Discretionary,Specialty Stores
AVB,AvalonBay Communities,Real Estate,Residential REITs
AGR,Avangrid,Utilities,
AVTR,Avantor,Health Care,
AVY,Avery Dennison,Materials,Paper Packaging
CAR,Avis Budget Group,Industrials,Trucking
AVT,Avnet,Information Technology,Technology Distributors
AXTA,Axalta,Materials,
AXS,AXIS Capital,Financials,
AXON,Axon,Industrials,Aerospace & Defense
AZEK,Azek,Industrials,
AZTA,Azenta,Information Technology,Semiconductor Equipment
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,Ball,Materials,Metal & Glass Containers
BAC,Bank of America,Financials,Diversified Banks
BOH,Bank of Hawaii,Financials,Regional Banks
OZK,Bank OZK,Financials,Regional Banks
BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores
BAX,Baxter,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
BSY,Bentley,Information Technology,
WRB,Berkley,Financials,Property & Casualty Insurance
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BERY,Berry Global,Materials,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BILL,Bill.com,Information Technology,
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,Biogen,Health Care,Biotechnology
BMRN,BioMarin,Health Care,
BJ,BJ's Wholesale Club,Consumer Staples,Hypermarkets & Super Centers
BKI,Black Knight,Information Technology,
BLK,BlackRock,Financials,Asset Management & Custody Banks
BX,Blackstone,Financials,Asset Management & Custody Banks
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services
SQ,"Block, Inc.",Information Technology,
OWL,Blue Owl Capital,Financials,
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BA,Boeing,Industrials,Aerospace & Defense
BOKF,BOK Financial,Financials,
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
BAH,Booz Allen Hamilton,Industrials,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
SAM,Boston Beer Company,Consumer Staples,Brewers
BXP,Boston Properties,Real Estate,Office REITs
BSX,Boston Scientific,Health Care,Health Care Equipment
BYD,Boyd Gaming,Consumer Discretionary,Casinos & Gaming
BFAM,Bright Horizons Family Solutions,Consumer Discretionary,
BHF,Brighthouse Financial,Financials,Life & Health Insurance
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors
BRX,Brixmor Property Group,Real Estate,Retail REITs
AVGO,Broadcom,Information Technology,Semiconductors
BR,Broadridge,Information Technology,Data Processing & Outsourced Services
BEPC,Brookfield Renewable,Utilities,
BRO,Brown & Brown,Financials,Insurance Brokers
BF.A,Brown–Forman (Class A),Consumer Staples,Distillers & Vintners
BF.B,Brown–Forman (Class B),Consumer Staples,Distillers & Vintners
BRKR,Bruker,Health Care,Health Care Equipment
BC,Brunswick,Consumer Discretionary,Leisure Products
BLDR,Builders FirstSource,Industrials,Building Products
BG,Bunge,Consumer Staples,
